Exchange Date,e,p1,p2
31/01/2001,0.4029,4.2843,5.1654
28/02/2001,0.381,4.287,5.1693
31/03/2001,0.3678,4.2904,5.1716
30/04/2001,0.3466,4.2962,5.1756
31/05/2001,0.3596,4.3038,5.1801
30/06/2001,0.3491,4.3058,5.1818
31/07/2001,0.3471,4.2981,5.179
31/08/2001,0.3542,4.3021,5.179
30/09/2001,0.3734,4.3048,5.1835
31/10/2001,0.3869,4.3032,5.1801
30/11/2001,0.3744,4.3012,5.1784
31/12/2001,0.353,4.3037,5.1745
31/01/2002,0.3737,4.3005,5.1767
28/02/2002,0.3442,4.3017,5.1807
31/03/2002,0.348,4.3056,5.1863
30/04/2002,0.3545,4.3098,5.1918
31/05/2002,0.3766,4.312,5.1918
30/06/2002,0.3762,4.3119,5.1924
31/07/2002,0.4266,4.3091,5.1935
31/08/2002,0.4468,4.312,5.1968
30/09/2002,0.4375,4.3147,5.1985
31/10/2002,0.4496,4.3167,5.2002
30/11/2002,0.4476,4.3165,5.2002
31/12/2002,0.4424,4.3202,5.1979
31/01/2003,0.4764,4.3138,5.2024
28/02/2003,0.4996,4.3173,5.21
31/03/2003,0.4527,4.3209,5.216
30/04/2003,0.4589,4.3242,5.2138
31/05/2003,0.4693,4.3245,5.2122
30/06/2003,0.4856,4.3229,5.2133
31/07/2003,0.5039,4.3221,5.2144
31/08/2003,0.4765,4.3258,5.2182
30/09/2003,0.4565,4.3289,5.2214
31/10/2003,0.5077,4.3302,5.2204
30/11/2003,0.5279,4.3298,5.2176
31/12/2003,0.5425,4.3328,5.2166
31/01/2004,0.5797,4.3279,5.2214
29/02/2004,0.6004,4.3301,5.2268
31/03/2004,0.625,4.3319,5.2332
30/04/2004,0.6125,4.3354,5.2364
31/05/2004,0.576,4.3391,5.2423
30/06/2004,0.6056,4.3386,5.2454
31/07/2004,0.5985,4.336,5.2439
31/08/2004,0.5994,4.3386,5.2444
30/09/2004,0.5889,4.3396,5.2465
31/10/2004,0.5944,4.3422,5.2517
30/11/2004,0.6091,4.3442,5.2523
31/12/2004,0.6469,4.3494,5.2486
31/01/2005,0.6521,4.344,5.2507
28/02/2005,0.6327,4.3465,5.2565
31/03/2005,0.6529,4.3508,5.2642
30/04/2005,0.6365,4.3547,5.2709
31/05/2005,0.6452,4.358,5.2699
30/06/2005,0.5971,4.3585,5.2704
31/07/2005,0.5826,4.3592,5.275
31/08/2005,0.5633,4.3624,5.2802
30/09/2005,0.5896,4.3639,5.2923
31/10/2005,0.5663,4.3654,5.2943
30/11/2005,0.571,4.3654,5.2862
31/12/2005,0.5476,4.3684,5.2822
31/01/2006,0.5431,4.3633,5.2898
28/02/2006,0.5758,4.3666,5.2918
31/03/2006,0.5617,4.3688,5.2973
30/04/2006,0.552,4.3748,5.3058
31/05/2006,0.6008,4.3802,5.3107
30/06/2006,0.6265,4.3832,5.3127
31/07/2006,0.6137,4.3826,5.3157
31/08/2006,0.6247,4.3869,5.3176
30/09/2006,0.6438,4.3878,5.3127
31/10/2006,0.6284,4.3893,5.3073
30/11/2006,0.6455,4.392,5.3058
31/12/2006,0.6761,4.3978,5.3073
31/01/2007,0.6724,4.3901,5.3103
28/02/2007,0.6754,4.3942,5.3157
31/03/2007,0.6748,4.399,5.3247
30/04/2007,0.6776,4.4021,5.3312
31/05/2007,0.6928,4.4049,5.3373
30/06/2007,0.6831,4.4071,5.3392
31/07/2007,0.6973,4.401,5.339
31/08/2007,0.7079,4.4045,5.3371
30/09/2007,0.7016,4.4052,5.3399
31/10/2007,0.7164,4.4101,5.342
30/11/2007,0.7328,4.4127,5.348
31/12/2007,0.7202,4.4184,5.3473
31/01/2008,0.6866,4.4117,5.3522
29/02/2008,0.6866,4.4188,5.3551
31/03/2008,0.6874,4.4233,5.3638
30/04/2008,0.6846,4.4314,5.3698
31/05/2008,0.6865,4.4377,5.3782
30/06/2008,0.6815,4.4446,5.3882
31/07/2008,0.6897,4.4444,5.3935
31/08/2008,0.6847,4.4505,5.3895
30/09/2008,0.5948,4.456,5.3881
31/10/2008,0.5785,4.4536,5.3779
30/11/2008,0.4749,4.4525,5.3586
31/12/2008,0.4293,4.4485,5.3482
31/01/2009,0.3793,4.4412,5.3525
28/02/2009,0.3698,4.4498,5.3575
31/03/2009,0.3568,4.4515,5.3599
30/04/2009,0.3596,4.4539,5.3624
31/05/2009,0.3906,4.4595,5.3653
30/06/2009,0.4809,4.4623,5.3739
31/07/2009,0.4985,4.462,5.3723
