Date,US3M,US2Y,US5Y,US10Y
02/27/26,3.6562,3.3749,3.5017,3.9375
01/30/26,3.6537,3.5224,3.7881,4.2355
12/31/25,3.6264,3.473,3.7252,4.167
11/28/25,3.7956,3.4893,3.5964,4.0132
10/31/25,3.8007,3.5736,3.6871,4.0775
09/30/25,3.9323,3.6083,3.7408,4.1503
08/29/25,4.1391,3.6167,3.6958,4.2284
07/31/25,4.3372,3.9571,3.9724,4.374
06/30/25,4.2911,3.7192,3.7971,4.228
05/30/25,4.333,3.8975,3.9617,4.4004
04/30/25,4.2859,3.6027,3.7264,4.1619
03/31/25,4.2937,3.8832,3.9496,4.2053
02/28/25,4.2942,3.9889,4.0191,4.2082
01/31/25,4.2839,4.1971,4.3272,4.5387
12/31/24,4.3144,4.2416,4.382,4.569
11/29/24,4.4858,4.1509,4.0482,4.1685
10/31/24,4.5418,4.1702,4.1582,4.2844
09/30/24,4.6169,3.6411,3.5585,3.7809
08/30/24,5.1117,3.9165,3.7027,3.9034
07/31/24,5.284,4.2575,3.9132,4.0296
06/28/24,5.3549,4.7535,4.3765,4.3961
05/31/24,5.4009,4.8727,4.507,4.4985
04/30/24,5.3918,5.0351,4.7154,4.6798
03/29/24,5.3618,4.62,4.2125,4.2003
02/29/24,5.3798,4.6187,4.2447,4.2502
01/31/24,5.3597,4.2067,3.8354,3.9124
12/29/23,5.3323,4.2499,3.8471,3.8791
11/30/23,5.3876,4.6802,4.2663,4.3264
10/31/23,5.4623,5.0873,4.8536,4.9307
09/29/23,5.4459,5.0436,4.609,4.5711
08/31/23,5.4354,4.8629,4.2541,4.1081
07/31/23,5.4001,4.8766,4.1774,3.9588
06/30/23,5.2836,4.8954,4.1556,3.8367
05/31/23,5.3884,4.4027,3.7547,3.6426
04/28/23,5.0302,4.0064,3.4828,3.422
03/31/23,4.693,4.0253,3.5733,3.4676
02/28/23,4.7687,4.8158,4.1818,3.92
01/31/23,4.6415,4.2011,3.6171,3.5069
12/30/22,4.3429,4.4258,4.0039,3.8748
11/30/22,4.3196,4.3102,3.7367,3.6054
10/31/22,4.0559,4.4824,4.2283,4.0478
09/30/22,3.2466,4.2787,4.09,3.8286
08/31/22,2.9003,3.4929,3.3508,3.1926
07/29/22,2.3168,2.8844,2.676,2.6487
06/30/22,1.6262,2.9533,3.0379,3.0129
05/31/22,1.0392,2.5565,2.8173,2.8441
04/29/22,0.8229,2.7146,2.9549,2.9336
03/31/22,0.4822,2.3345,2.4599,2.338
02/28/22,0.2917,1.4323,1.7177,1.825
01/31/22,0.18,1.1787,1.6094,1.7767
12/31/21,0.0304,0.7322,1.263,1.5101
11/30/21,0.0456,0.565,1.1596,1.4443
10/29/21,0.0482,0.497,1.1831,1.5521
09/30/21,0.033,0.2755,0.9649,1.4873
08/31/21,0.0355,0.2093,0.7771,1.3088
07/30/21,0.0406,0.1839,0.6904,1.2223
06/30/21,0.0406,0.2486,0.8894,1.468
05/31/21,0.0025,0.1407,0.7995,1.5943
04/30/21,0.0025,0.1584,0.8461,1.6259
03/31/21,0.0152,0.1603,0.9393,1.7404
02/26/21,0.033,0.127,0.7313,1.4049
01/29/21,0.0482,0.1093,0.4193,1.0655
12/31/20,0.0583,0.1211,0.3608,0.9132
11/30/20,0.0712,0.1485,0.3608,0.8389
10/30/20,0.0864,0.1525,0.3844,0.8737
09/30/20,0.0915,0.127,0.2768,0.684
08/31/20,0.0938,0.1309,0.2673,0.7048
07/31/20,0.0837,0.1054,0.2044,0.5282
06/30/20,0.1293,0.1485,0.2878,0.6561
05/29/20,0.1246,0.1603,0.3036,0.6526
04/30/20,0.0788,0.1956,0.3624,0.6393
03/31/20,0.061,0.2455,0.3799,0.6695
02/28/20,1.267,0.913,0.9356,1.1486
01/31/20,1.5382,1.3132,1.3134,1.5068
12/31/19,1.5436,1.5691,1.691,1.9175
11/29/19,1.5672,1.6119,1.6259,1.7758
10/31/19,1.524,1.5239,1.5195,1.691
09/30/19,1.8071,1.6217,1.544,1.6646
08/30/19,1.9765,1.504,1.3865,1.4961
07/31/19,2.0616,1.8721,1.8272,2.0144
06/28/19,2.0868,1.7549,1.7664,2.0051
05/31/19,2.3399,1.9221,1.911,2.1246
04/30/19,2.4099,2.2661,2.2783,2.5018
03/29/19,2.3809,2.26,2.233,2.405
02/28/19,2.4326,2.5141,2.5122,2.715
01/31/19,2.3839,2.4576,2.4365,2.6293
12/31/18,2.3549,2.4878,2.5111,2.6842
11/30/18,2.3424,2.7865,2.8125,2.9879
10/31/18,2.3251,2.8669,2.9749,3.1435
09/28/18,2.1964,2.8188,2.9529,3.0612
08/31/18,2.0938,2.6269,2.7382,2.8604
07/31/18,2.0203,2.6694,2.8479,2.9598
06/29/18,1.9123,2.5282,2.7378,2.8601
05/31/18,1.8946,2.4274,2.6962,2.8586
04/30/18,1.7996,2.4879,2.7972,2.9531
03/30/18,1.7001,2.2661,2.562,2.7389
02/28/18,1.6518,2.25,2.6401,2.8606
01/31/18,1.4551,2.1406,2.5139,2.705
12/29/17,1.3757,1.883,2.2064,2.4054
11/30/17,1.256,1.782,2.1375,2.4097
10/31/17,1.1312,1.5997,2.0165,2.3793
09/29/17,1.0405,1.4827,1.936,2.3336
08/31/17,0.991,1.3255,1.702,2.117
07/31/17,1.0724,1.3491,1.8356,2.2942
06/30/17,1.0113,1.3817,1.8884,2.3037
05/31/17,0.9706,1.2818,1.7516,2.2028
04/28/17,0.7923,1.2619,1.8142,2.2802
03/31/17,0.7516,1.254,1.9212,2.3874
02/28/17,0.6042,1.2601,1.9294,2.3899
01/31/17,0.5127,1.2044,1.9129,2.4531
12/30/16,0.4974,1.1883,1.9274,2.4443
11/30/16,0.4771,1.113,1.842,2.3809
10/31/16,0.2993,0.8409,1.3067,1.8255
09/30/16,0.2739,0.7619,1.1492,1.5944
08/31/16,0.3298,0.8053,1.1977,1.58
07/29/16,0.2536,0.6554,1.0237,1.4531
06/30/16,0.2587,0.5817,0.9997,1.4697
05/31/16,0.2849,0.877,1.3718,1.8458
04/29/16,0.2085,0.7816,1.294,1.8333
03/31/16,0.1983,0.7211,1.2048,1.7687
02/29/16,0.3154,0.7737,1.2123,1.7347
01/29/16,0.3103,0.7737,1.328,1.9209
12/31/15,0.1627,1.0477,1.7598,2.2694
11/30/15,0.1678,0.9304,1.6446,2.206
10/30/15,0.0712,0.724,1.5185,2.1421
09/30/15,-0.0203,0.6289,1.3572,2.0368
08/31/15,0,0.7375,1.5478,2.2179
07/31/15,0.061,0.6606,1.5287,2.1801
06/30/15,0.0051,0.6427,1.6479,2.3531
05/29/15,0,0.6053,1.4853,2.1214
04/30/15,0,0.567,1.4254,2.0317
03/31/15,0.0203,0.5551,1.3701,1.9231
02/27/15,0.0101,0.6184,1.4988,1.993
01/30/15,0,0.4488,1.1548,1.6407
12/31/14,0.0355,0.6645,1.6528,2.1712
11/28/14,0.0101,0.4685,1.4805,2.164
10/31/14,0.0051,0.4914,1.6095,2.3353
09/30/14,0.0152,0.567,1.7566,2.4888
08/29/14,0.0203,0.4882,1.625,2.3431
07/31/14,0.0203,0.5276,1.7529,2.5578
06/30/14,0.0203,0.4567,1.6299,2.5304
05/30/14,0.0304,0.373,1.5391,2.4759
04/30/14,0.0253,0.4104,1.6757,2.6459
03/31/14,0.0304,0.4183,1.7184,2.718
02/28/14,0.0456,0.3169,1.5016,2.6476
01/31/14,0.0203,0.3277,1.4902,2.644
12/31/13,0.0659,0.3799,1.7411,3.0282
11/29/13,0.0558,0.2814,1.3701,2.7445
10/31/13,0.0355,0.305,1.3294,2.5542
09/30/13,0.0051,0.3168,1.3815,2.61
08/30/13,0.0203,0.3987,1.6407,2.7839
07/31/13,0.0355,0.3089,1.3782,2.5762
06/28/13,0.0304,0.3554,1.3945,2.4857
05/31/13,0.0253,0.2933,1.0177,2.1282
04/30/13,0.0456,0.2074,0.676,1.6717
03/29/13,0.071,0.2421,0.7644,1.8486
02/28/13,0.1014,0.2343,0.7612,1.8756
01/31/13,0.071,0.2618,0.8782,1.9849
12/31/12,0.0406,0.2468,0.7229,1.7574
11/30/12,0.0761,0.2461,0.617,1.6156
10/31/12,0.1065,0.2814,0.7213,1.6901
09/28/12,0.0913,0.2304,0.625,1.6335
08/31/12,0.071,0.2205,0.59,1.5484
07/31/12,0.0963,0.2113,0.581,1.4679
06/29/12,0.0811,0.3011,0.7181,1.6449
05/31/12,0.0659,0.2618,0.6552,1.5578
04/30/12,0.0915,0.2559,0.8079,1.9137
03/30/12,0.0661,0.3287,1.0386,2.2088
02/29/12,0.0763,0.2932,0.859,1.9705
01/31/12,0.0508,0.2147,0.7045,1.7971
12/30/11,0.0102,0.2391,0.8318,1.8762
11/30/11,0,0.2539,0.952,2.068
10/31/11,-0.0152,0.2382,0.9599,2.1133
09/30/11,0.0203,0.243,0.9518,1.9154
08/31/11,0.0102,0.1995,0.9615,2.2234
07/29/11,0.0915,0.3554,1.3556,2.7961
06/30/11,0.0102,0.4576,1.7608,3.16
05/31/11,0.0456,0.4685,1.6992,3.0607
04/29/11,0.0355,0.6013,1.967,3.2863
03/31/11,0.0913,0.8211,2.2766,3.4703
02/28/11,0.1349,0.6802,2.1382,3.4272
01/31/11,0.145,0.562,1.9407,3.3704
12/31/10,0.1197,0.5934,2.006,3.2935
11/30/10,0.1552,0.4528,1.4661,2.7968
10/29/10,0.1105,0.3357,1.1661,2.5993
09/30/10,0.1532,0.4222,1.2629,2.5098
08/31/10,0.1268,0.4694,1.3311,2.4683
07/30/10,0.14,0.5461,1.5964,2.9052
06/30/10,0.1704,0.6014,1.7733,2.9311
05/31/10,0.1521,0.7658,2.0919,3.2848
04/30/10,0.1542,0.9603,2.4164,3.6532
03/31/10,0.1501,1.0158,2.5435,3.8257
02/26/10,0.1146,0.8118,2.3018,3.6117
01/29/10,0.069,0.8118,2.3232,3.5844
12/31/09,0.0477,1.1354,2.6788,3.8368
11/30/09,0.0466,0.6632,1.9996,3.1978
10/30/09,0.0446,0.8891,2.3084,3.3828
09/30/09,0.1075,0.9446,2.3117,3.3053
08/31/09,0.1268,0.9683,2.385,3.3975
07/31/09,0.1755,1.1113,2.5144,3.4796
06/30/09,0.1775,1.1091,2.5546,3.5326
05/29/09,0.1298,0.9146,2.3399,3.4594
04/30/09,0.1247,0.8987,2.0104,3.1187
03/31/09,0.2009,0.796,1.6551,2.6629
02/27/09,0.2465,0.9701,1.9839,3.0131
01/30/09,0.2262,0.9463,1.8751,2.8403
12/31/08,0.0761,0.7643,1.5489,2.2123
11/28/08,0.0406,0.9807,1.9144,2.92
10/31/08,0.436,1.548,2.8277,3.953
09/30/08,0.9044,1.9599,2.9793,3.8234
08/29/08,1.7103,2.3669,3.0876,3.8116
07/31/08,1.6594,2.5079,3.2351,3.9462
06/30/08,1.7306,2.6164,3.3271,3.969
05/30/08,1.879,2.6411,3.4177,4.0595
04/30/08,1.3772,2.2537,3.0097,3.7279
03/31/08,1.3156,1.5824,2.4365,3.4096
02/29/08,1.838,1.6158,2.4689,3.5092
01/31/08,1.9409,2.0929,2.7604,3.5931
12/31/07,3.2368,3.0466,3.4397,4.0232
11/30/07,3.1445,2.9947,3.3818,3.9379
10/31/07,3.9112,3.9452,4.1686,4.4708
09/28/07,3.7956,3.9835,4.243,4.5865
08/31/07,4.1059,4.132,4.2442,4.5292
07/31/07,4.9406,4.5174,4.5614,4.7388
06/29/07,4.802,4.8582,4.9213,5.0244
05/31/07,4.7311,4.9081,4.846,4.8879
04/30/07,4.8401,4.591,4.5106,4.6222
03/30/07,5.0276,4.5744,4.5317,4.6443
02/28/07,5.1239,4.6423,4.5191,4.5657
01/31/07,5.1031,4.9165,4.7997,4.808
12/29/06,5.0061,4.808,4.6923,4.7022
11/30/06,5.0193,4.6084,4.4436,4.4581
10/31/06,5.0727,4.6926,4.5614,4.5981
09/29/06,4.8719,4.6829,4.5777,4.6276
08/31/06,5.0297,4.7754,4.6888,4.7258
07/31/06,5.0684,4.95,4.8963,4.9794
06/30/06,4.9757,5.1498,5.0926,5.1364
05/31/06,4.833,5.033,5.0323,5.1186
04/28/06,4.7578,4.8583,4.9106,5.0505
03/31/06,4.6023,4.8161,4.8104,4.8472
02/28/06,4.6156,4.6746,4.599,4.551
01/31/06,4.46,4.5155,4.4519,4.5152
12/30/05,4.074,4.3996,4.3497,4.3911
11/30/05,3.9315,4.4068,4.4109,4.484
10/31/05,3.8777,4.3738,4.4412,4.5506
09/30/05,3.5376,4.1649,4.1886,4.324
08/31/05,3.4977,3.8114,3.859,4.0137
07/29/05,3.3933,4.0147,4.121,4.276
06/30/05,3.1161,3.6331,3.6978,3.913
05/31/05,2.9398,3.5736,3.7352,3.981
04/29/05,2.8891,3.6495,3.8947,4.1976
03/31/05,2.7664,3.7745,4.1652,4.4815
02/28/05,2.745,3.5958,4.0114,4.3766
01/31/05,2.4576,3.2716,3.6943,4.128
12/31/04,2.2117,3.0651,3.6074,4.2182
11/30/04,2.2227,2.9967,3.6911,4.3492
10/29/04,1.8943,2.5484,3.2818,4.0235
09/30/04,1.7003,2.605,3.3713,4.1194
08/31/04,1.5778,2.3911,3.3068,4.1167
